"gml_id","roof_flat","roof_var","prob_flat","prob_not_flat","label"
"b31e1febd-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.00359004662004662,0.930876674055428,0.0691233259445721,"Flat"
"b31bdd447-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.892209326984127,9.02451617356285e-45,1,"Not flat"
"b31bdd44f-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.816776090391909,6.51291468442589e-37,1,"Not flat"
"b1127b2f3-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0257645170740639,0.948165347025673,0.0518346529743275,"Flat"
"b31bdd43f-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.889505790101372,1.77813963731756e-44,1,"Not flat"
"b31bc9c5d-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.943703722066006,1.45279276378442e-50,1,"Not flat"
"b31bdd432-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.918493807456347,1.10111591716194e-47,1,"Not flat"
"b31bb8ab0-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.621470553497464,4.91547204875548e-20,1,"Not flat"
"b31bc2680-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.743817182932231,5.06061732286595e-30,1,"Not flat"
"b31bcc27a-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.836711511681173,6.44984955479833e-39,1,"Not flat"
"b31bd1111-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.20841166404406,0.444875548364859,0.555124451635141,"Not flat"
"b1128005c-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0221452194513716,0.946171949873351,0.0538280501266491,"Flat"
"b31bdd43a-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.885404664638563,4.95381982294569e-44,1,"Not flat"
"b31e1feba-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0294323638286621,0.949922466824684,0.0500775331753163,"Flat"
"b112715f4-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.56956954203952,8.77625090609029e-149,1,"Not flat"
"b31bc4dcc-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.88821787337662,1.56744140397066e-218,1,"Not flat"
"b31bce9b7-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0632099199191977,0.956328864229293,0.0436711357707072,"Flat"
"b31bdfb67-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.689598611111111,2.35748567642551e-25,1,"Not flat"
"b31be22b8-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.78875215417965,3.49163014148592e-34,1,"Not flat"
"b31be49fa-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.21402643931036,1.10672408819802e-86,1,"Not flat"
"b31bc9c46-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.849622693225323,3.04575117032462e-40,1,"Not flat"
"b31be49f0-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.638861803525349,2.4638684469025e-21,1,"Not flat"
"b31bbb1ca-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0248553306170953,0.947689710109757,0.0523102898902435,"Flat"
"b31bc2699-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.07392058873969,9.12999898105606e-67,1,"Not flat"
"b31bd5f71-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.673607540184453,4.73853112862631e-24,1,"Not flat"
"b31bce9c1-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.377511020509788,5.55446900626452e-06,0.999994445530994,"Not flat"
"b31be22a3-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.98519690380778,1.74202443656832e-55,1,"Not flat"
"b31be49f5-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.35027253623905,1.60893907799656e-108,1,"Not flat"
"b31bd384d-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.741694334093129,7.83855423800542e-30,1,"Not flat"
"b31bbd912-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",2.70953173125194,0,1,"Not flat"
"b31e18915-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0207066541201774,0.945302928478877,0.054697071521123,"Flat"
